iter	Passed	Remaining
0	1	152
1	2	140
2	4	133
3	5	123
4	6	121
5	7	118
6	8	116
7	10	116
8	11	114
9	12	113
10	13	112
11	15	110
12	16	108
13	17	106
14	18	104
15	19	103
16	20	101
17	21	100
18	23	98
19	24	96
20	25	95
21	26	94
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	84
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	69
41	49	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	52
55	64	50
56	66	49
57	67	48
58	68	47
59	69	46
60	70	45
61	71	44
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	37
68	79	35
69	81	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	88	27
76	89	26
77	90	25
78	91	24
79	92	23
80	93	22
81	94	20
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
